SampleID,Pot,Intensity,Frequency,Composition,N,H,SB,RB,TB,R_S,SLA,LDMC,LCC,LNC,Leaf_CN,Chl,PSIIeff,Ψosm,SS,SD,RD,RDMC,SRL,SRA,RTD,RCC,RNC,Root_CN,SER,SSR1,SSR2,SP1,SP2,SPtotal,RP1,RP2,TBs,TB_pot
WL1-B-S,Pot-1,Wet,Low,Conspecific,35,16.84,0.150857143,0.161857143,0.3478,1.073,14.503,365.669,41.35159302,1.333955884,30.99922083,478.333,0.558,-1.408,40.51851852,79.71085324,0.2564,153.944,101.58,818.24,0.191,37.58947754,0.914867342,41.08735312,0.56,1,0.4,0,0,0,0.92,0.7,0.24346,12.173
WL2-B-S,Pot-2,Wet,Low,Conspecific,54,13.34,0.123444444,0.166962963,0.290407407,1.353,17.289,377.814,40.74421692,1.311427236,31.06860663,431,0.442,-1.632,40.2962963,70.01366915,0.2757,178.364,66.703,577.733,0.251,33.0800705,0.623927534,53.01909068,0.46,1,1,0,0,0,0.9,1.08,0.31364,15.682
WL3-B-S,Pot-3,Wet,Low,Conspecific,52,15.96,0.112288462,0.185519231,0.297807692,1.652,18.611,357.037,40.29299545,1.40048027,28.7708412,431.333,0.478,-1.615,39.59259259,77.18958538,0.2746,185.585,73.722,636.013,0.229,41.63574219,0.738831341,56.35351383,0.54,1,0.2,0,0,0,0.94,1.04,0.30972,15.486
WL4-B-S,Pot-4,Wet,Low,Conspecific,57,16.32,0.115596491,0.195017544,0.310614035,1.687,14.681,311.486,40.05161285,1.342839479,29.82606147,433.667,0.502,-1.629,40.07407407,64.38930238,0.3093,219.482,58.157,565.14,0.229,37.5162468,0.731621385,51.2782261,0.48,1,1,0,0,0,1,1.14,0.3541,17.705
WL5-B-S,Pot-5,Wet,Low,Conspecific,51,12.38,0.118843137,0.197529412,0.316372549,1.662,16.224,334.412,40.04628372,1.052765369,38.03913474,442,0.379,-1.467,39.51851852,70.40155651,0.28,194.634,74.946,659.152,0.217,38.74071884,0.801194072,48.35372626,0.6,1,0.6,0,0,0,1.12,1.02,0.3227,16.135
WL6-B-S,Pot-6,Wet,Low,Conspecific,69,11.98,0.111072464,0.139985507,0.251057971,1.26,16.08,313.71,40.63616562,1.571021557,25.86607767,471.667,0.52,-1.928,37,61.48014715,0.2612,200.286,80.21,658.307,0.232,40.16585922,0.674463034,59.55235083,0.56,1,1,0,0.4,0.4,0.92,1.38,0.34646,17.323
WL7-B-S,Pot-7,Wet,Low,Conspecific,57,13.62,0.114912281,0.241631579,0.35654386,2.103,13.734,366.35,40.59447861,1.293904305,31.37363285,452.667,0.523,-1.718,40.25925926,68.4621197,0.3141,204.3,53.126,524.217,0.243,39.83016968,0.695486486,57.26950916,0.48,1,0.8,0,0,0,0.92,1.14,0.40646,20.323
WL8-B-S,Pot-8,Wet,Low,Conspecific,46,14.96,0.125934783,0.251195652,0.377152174,1.995,14.905,354.994,41.31694412,1.228406072,33.63459776,427.333,0.534,-1.788,39.55555556,72.34099333,0.2793,227.71,67.427,591.574,0.242,42.41184616,0.776705146,54.60482189,0.5,1,1,0,0,0,1.06,0.92,0.34698,17.349
WL9-B-S,Pot-9,Wet,Low,Conspecific,55,12.86,0.095218182,0.240472727,0.335709091,2.525,17.112,305.128,40.32138824,1.512516856,26.65847199,488,0.524,-1.713,38.55555556,67.49240129,0.2737,190.099,73.176,629.136,0.232,40.20697403,0.710637808,56.57871503,0.4,1,0.6,0,0,0,0.94,1.1,0.36928,18.464
WL10-B-S,Pot-10,Wet,Low,Conspecific,52,11.92,0.107538462,0.218076923,0.325615385,2.028,15.393,344.054,40.2917366,1.359392643,29.6395135,395.333,0.32,-1.606,41.51851852,65.1650771,0.2983,210.745,58.626,549.438,0.244,39.68869019,0.70879221,55.99481714,0.58,1,0.8,0,0,0,0.84,1.04,0.33864,16.932
WL21-B-M,Pot-21,Wet,Low,Heterospecific,30,17.15,0.1647,0.2579,0.422566667,1.566,14.208,336.329,40.23038101,1.379957676,29.15334413,533,0.496,-1.799,43.11111111,62.06197819,0.2994,197.858,63.104,593.613,0.225,35.45269775,0.711470127,49.83019863,0.28,0.6,0.6,0,0,0,1.4,1.2,0.50708,12.677
WL22-B-M,Pot-22,Wet,Low,Heterospecific,40,15.18,0.12355,0.125775,0.27305,1.018,14.559,332.343,40.15100098,1.312201142,30.59820609,421,0.441,-1.648,40.37037037,59.73465401,0.2867,195.143,60.792,547.519,0.255,39.19329453,0.673615992,58.18343833,0.64,1,1,0,0,0,1.32,1.6,0.43688,10.922
WL23-B-M,Pot-23,Wet,Low,Heterospecific,20,10.52,0.0941,0.22485,0.319,2.389,19.442,280.364,38.39554214,1.425307989,26.93841783,421,0.532,-1.861,42.18518519,60.51042874,0.2678,215.988,69.922,588.203,0.255,37.11694717,0.627325177,59.16699749,0.68,1,0.6,0,0,0,1.4,0.8,0.2552,6.38
WL24-B-M,Pot-24,Wet,Low,Heterospecific,38,11.1,0.096052632,0.160394737,0.270236842,1.67,15.887,313.082,40.59858322,1.182302594,34.3385724,403.667,0.514,-1.694,41.48148148,68.4621197,0.2987,237.243,60.368,566.446,0.237,39.04174805,0.643160105,60.70300031,0.68,1,1,0,0,0,1.4,1.52,0.41076,10.269
WL25-B-M,Pot-25,Wet,Low,Heterospecific,29,14.76,0.11962069,0.192344828,0.344448276,1.608,13.981,345.944,39.42882538,1.397750497,28.20877221,433.667,0.528,-1.466,43.48148148,65.94085183,0.2585,208.32,68.058,552.658,0.279,38.79816055,0.6671139,58.15822538,0.76,1,0.8,0,0,0,1.36,1.16,0.39956,9.989
WL26-B-M,Pot-26,Wet,Low,Heterospecific,33,9.52,0.079575758,0.169060606,0.248636364,2.125,16.128,352.013,39.91152954,1.409906149,28.30793352,477.667,0.544,-1.62,44.03703704,60.31648506,0.2641,211.777,73.586,610.467,0.248,39.30247116,0.633548081,62.03549871,0.6,1,0.8,0,0,0,1.48,1.32,0.3282,8.205
WL27-B-M,Pot-27,Wet,Low,Heterospecific,44,10.76,0.097659091,0.106454545,0.211159091,1.09,14.254,376.61,38.79206848,0.966134727,40.15182085,516.333,0.548,-1.75,42.88888889,75.63803592,0.2322,210.532,101.517,740.54,0.233,40.3843956,0.705664873,57.22885912,0.72,1,1,0,0,0,1.52,1.76,0.37164,9.291
WL28-B-M,Pot-28,Wet,Low,Heterospecific,50,9.64,0.10072,0.15852,0.25924,1.574,18.656,310.829,40.85693359,1.621024132,25.20439566,427.333,0.552,-1.541,44.51851852,78.74113483,0.2666,198.681,77.66,650.398,0.23,39.90130997,0.6838274,58.34997248,0.64,1,1,0,0,0,1.44,2,0.51848,12.962
WL29-B-M,Pot-29,Wet,Low,Heterospecific,20,10.46,0.10405,0.259,0.38105,2.489,17.348,322.205,39.52105713,1.117038846,35.38019942,452,0.426,-2.012,43.33333333,62.06197819,0.2714,217.367,65.893,561.914,0.262,40.2370224,0.7101897,56.65672482,0.64,1,0.6,0,0,0,1.4,0.8,0.30484,7.621
WL30-B-M,Pot-30,Wet,Low,Heterospecific,38,13.46,0.108868421,0.248394737,0.357263158,2.281,15.074,334.136,40.80612183,1.261942148,32.33596872,410.333,0.495,-1.827,40.14814815,80.48662797,0.256,210.842,84.032,675.837,0.231,39.94724655,0.694844365,57.49092684,0.72,1,1,0,0,0,1.72,1.64,0.54304,13.576
WH31-B-S,Pot-31,Wet,High,Conspecific,61,11.32,0.073393443,0.177311475,0.250704918,2.416,13.923,352.575,40.33403397,1.414399385,28.51672194,452.667,0.613,-1.821,43.22222222,69.04395074,0.2622,194.279,81.132,668.188,0.228,41.56945801,0.754991293,55.05951975,0.54,1,1,0,0,0,1.12,1.22,0.30586,15.293
WH32-B-S,Pot-32,Wet,High,Conspecific,41,12.34,0.119097561,0.35902439,0.478121951,3.015,13.489,357.788,41.02220154,1.34665978,30.46218663,482,0.485,-1.859,39.81481481,70.40155651,0.2329,177.811,98.495,720.704,0.239,41.46772003,0.843970358,49.13409534,0.56,1,0.6,0.08,0,0.08,1.06,0.82,0.39206,19.603
WH33-B-S,Pot-33,Wet,High,Conspecific,38,13.42,0.106131579,0.270657895,0.376763158,2.55,8.998,361.801,40.90132523,1.546592951,26.44608279,393,0.485,-1.684,38.11111111,81.45634638,0.2647,191.37,82.013,682,0.222,40.88571167,0.84595108,48.33105913,0.44,1,0.8,0,0,0,0.68,0.76,0.28634,14.317
WH34-B-S,Pot-34,Wet,High,Conspecific,38,11.34,0.143342105,0.233710526,0.377052632,1.631,12.998,377.983,41.08259201,1.570160389,26.16458312,463.333,0.535,-1.854,38.7037037,77.96536011,0.2886,188.363,59.725,541.464,0.256,38.4900322,0.730780065,52.66978951,0.38,1,1,0,0,0,0.84,0.76,0.28656,14.328
WH35-B-S,Pot-35,Wet,High,Conspecific,57,11.62,0.095192982,0.245684211,0.340877193,2.581,14.326,373.659,40.71041489,1.407461166,28.92471627,382.667,0.434,-2.014,42.62962963,63.61352765,0.2176,186.699,114.9,785.582,0.234,41.24598694,0.80268681,51.38490682,0.56,1,1,0,0,0,0.9,1.14,0.3886,19.43
WH36-B-S,Pot-36,Wet,High,Conspecific,49,14.24,0.079244898,0.220163265,0.299408163,2.778,17.272,309.549,39.91362,1.481162429,26.94749692,450.667,0.357,-1.62,38.33333333,64.77718974,0.3073,202.818,50.793,490.384,0.265,38.47290802,0.692827344,55.53029677,0.5,1,1,0,0,0,0.8,0.98,0.29342,14.671
WH37-B-S,Pot-37,Wet,High,Conspecific,44,11.32,0.148068182,0.144181818,0.304522727,0.974,12.829,346.986,41.17999268,1.259072304,32.70661466,478,0.519,-1.431,47.44444444,75.83197961,0.2462,184.804,96.632,747.486,0.217,38.17964935,0.738517106,51.69771836,0.56,1,1,0,0,0,0.84,0.88,0.26798,13.399
WH38-B-S,Pot-38,Wet,High,Conspecific,39,13.84,0.089692308,0.167025641,0.25674359,1.862,14.23,353.869,40.85112762,1.522775531,26.826756,442,0.568,-1.691,43.03703704,85.33522002,0.258,191.627,79.858,647.161,0.239,40.3776741,0.822363675,49.09953507,0.56,1,0.8,0,0,0,0.9,0.78,0.20026,10.013
WH39-B-S,Pot-39,Wet,High,Conspecific,47,14.32,0.122404255,0.232680851,0.355085106,1.901,16.096,333.879,40.73188019,1.452979922,28.03334002,374.333,0.551,-1.54,39.81481481,74.08648647,0.2558,194.812,85.227,684.799,0.229,41.22764969,0.795198977,51.84570263,0.52,1,0.8,0,0,0,0.84,0.94,0.33378,16.689
WH40-B-S,Pot-40,Wet,High,Conspecific,44,15.52,0.101590909,0.189977273,0.291568182,1.87,14.848,358.402,40.50361252,1.537842155,26.33795178,429.333,0.397,-1.677,36.11111111,71.17733124,0.2769,177.228,79.042,687.513,0.21,39.75532913,0.682735562,58.22946883,0.46,1,0.4,0,0,0,0.96,0.88,0.25658,12.829
WH51-B-M,Pot-51,Wet,High,Heterospecific,42,10.32,0.068714286,0.120547619,0.189261905,1.755,17.201,327.941,40.21303558,1.254420996,32.05704919,384.667,0.385,-1.483,44.62962963,61.67409083,0.2581,207.306,92.06,746.503,0.207,38.84738922,0.686475694,56.58960624,0.64,1,1,0,0,0,1.28,1.68,0.31796,7.949
WH52-B-M,Pot-52,Wet,High,Heterospecific,28,12.68,0.128285714,0.152892857,0.281178571,1.192,13.679,332.156,40.12545776,1.370382071,29.28048944,463.333,0.527,-1.451,41.18518519,81.84423374,0.2502,191.906,94.172,740.342,0.216,37.7386322,0.710273027,53.13257123,0.84,1,0.6,0,0.2,0.2,1.36,1.12,0.31492,7.873
WH53-B-M,Pot-53,Wet,High,Heterospecific,41,14.64,0.087463415,0.193780488,0.281243902,2.215,16.177,325.176,39.99521255,1.444693804,27.68421408,460.667,0.458,-1.566,39.62962963,70.78944388,0.2734,204.045,74.141,636.72,0.229,39.57725143,0.738846004,53.5663064,0.68,1,1,0,0,0,1.32,1.64,0.46124,11.531
WH54-B-M,Pot-54,Wet,High,Heterospecific,39,12.6,0.084025641,0.181897436,0.265948718,2.165,16.906,292.858,41.13766479,1.447324157,28.42325583,425.333,0.52,-1.428,39.37037037,73.31071174,0.2435,184.521,99.705,762.859,0.215,38.09766388,0.709248543,53.71553351,0.88,1,1,0,0,0,1.24,1.56,0.41488,10.372
WH55-B-M,Pot-55,Wet,High,Heterospecific,47,12.7,0.093617021,0.138531915,0.232148936,1.48,19.378,282.955,40.52639771,1.372673512,29.52369763,437.667,0.54,-1.364,42.11111111,78.93507852,0.256,210.445,77.474,623.196,0.25,36.71301651,0.686025918,53.51549489,0.68,1,0.8,0,0.36,0.36,1.28,1.88,0.43644,10.911
WH56-B-M,Pot-56,Wet,High,Heterospecific,14,12.94,0.125857143,0.1315,0.257357143,1.045,13.853,319.804,40.88965225,1.44849205,28.22911748,467.333,0.411,-1.618,44.18518519,68.26817601,0.2885,188.873,67.703,613.573,0.226,38.3797226,0.735099733,52.21022519,0.84,1,0.2,0,0,0,1.44,0.56,0.14412,3.603
WH57-B-M,Pot-57,Wet,High,Heterospecific,39,13.52,0.099564103,0.260923077,0.360487179,2.621,15.812,285.714,40.849823,1.36530745,29.91987116,400.333,0.465,-1.343,40.55555556,64.77718974,0.2417,162.706,106.798,810.859,0.204,41.18818665,0.766082227,53.76470723,0.56,1,1,0,0,0,1.16,1.56,0.56236,14.059
WH58-B-M,Pot-58,Wet,High,Heterospecific,41,14.34,0.088658537,0.140512195,0.229170732,1.585,17.967,313.662,40.77061081,1.492956877,27.30863258,435.667,0.486,-1.804,42.81481481,75.63803592,0.2664,183.111,89.571,749.519,0.2,47.0290451,0.949281573,49.54172338,0.64,1,0.8,0.4,0.64,1.04,1.2,1.64,0.37584,9.396
WH59-B-M,Pot-59,Wet,High,Heterospecific,44,12.58,0.119136364,0.164227273,0.283363636,1.378,20.18,285.313,40.7554245,1.326632261,30.72096594,441.667,0.459,-1.766,42.88888889,72.53493701,0.2759,197.71,74.139,642.522,0.226,39.22622299,0.644767582,60.83777176,0.72,1,0.8,0.36,0,0.36,1.76,1.76,0.49872,12.468
WH60-B-M,Pot-60,Wet,High,Heterospecific,45,9.9,0.089422222,0.1558,0.245222222,1.742,20.073,260.39,40.14896393,1.42798996,28.11571864,431.333,0.662,-1.542,40.66666667,83.97761424,0.3082,216.229,59.096,572.276,0.227,40.70537567,0.627004385,64.92040031,0.84,1,1,0,0,0,1.72,1.8,0.4414,11.035
DL61-B-S,Pot-61,Dry,Low,Conspecific,40,8.82,0.116175,0.234075,0.35025,2.015,21.11,260.491,42.08368683,2.115978479,19.88852309,518,0.523,-1.653,38.37037037,89.98986838,0.2754,263.038,66.095,571.951,0.254,41.91701126,0.845919013,49.55203822,0.34,1,0.8,0.32,0.42,0.74,0.74,0.8,0.2802,14.01
DL62-B-S,Pot-62,Dry,Low,Conspecific,38,11.46,0.082447368,0.148947368,0.231394737,1.807,13.192,324.651,41.39852524,1.774594903,23.32843691,495.667,0.585,-1.438,35.48148148,83.58972688,0.2448,228.213,79.211,609.223,0.268,38.50326157,0.752491713,51.1676885,0.52,1,0.4,0,0,0,0.56,0.76,0.17586,8.793
DL63-B-S,Pot-63,Dry,Low,Conspecific,46,8.42,0.05673913,0.145065217,0.201804348,2.557,24.367,255.833,41.57826233,2.034242153,20.43919023,566,0.612,-1.365,41.59259259,76.21986697,0.2732,251.753,62.296,534.588,0.274,40.95361328,0.761354089,53.79049495,0.46,1,0.8,0,0,0,0.64,0.92,0.18566,9.283
DL64-B-S,Pot-64,Dry,Low,Conspecific,47,8.7,0.098297872,0.133255319,0.245787234,1.356,14.31,362.223,40.87683868,1.052942872,38.82151612,518.333,0.431,-1.379,34,85.14127634,0.2858,269.374,60.803,546.025,0.256,41.44358444,0.77537775,53.44954049,0.32,1,0.6,0.58,0.3,0.88,0.64,0.94,0.23104,11.552
DL65-B-S,Pot-65,Dry,Low,Conspecific,25,10.5,0.1232,0.1666,0.29668,1.352,17.87,275.992,40.90443802,0.894696236,45.71879972,554,0.563,-1.434,29.37037037,68.85000706,0.2478,226.762,87.566,681.722,0.237,41.46209717,0.872040093,47.54609049,0.52,1,0.2,0,0,0,0.6,0.5,0.14834,7.417
DL66-B-S,Pot-66,Dry,Low,Conspecific,32,12.48,0.10353125,0.14225,0.24578125,1.374,15.819,345.503,42.36632156,2.08738637,20.29634866,551.333,0.418,-1.392,32.37037037,90.18381206,0.2709,238.01,84.713,720.991,0.204,39.51128769,0.749637663,52.7071806,0.42,1,0.6,0,0,0,0.68,0.64,0.1573,7.865
DL67-B-S,Pot-67,Dry,Low,Conspecific,29,10.06,0.134241379,0.238724138,0.372965517,1.778,16.389,305.483,42.89969635,1.622551918,26.43964478,526.333,0.525,-1.549,26.18518519,86.30493843,0.2798,277.033,61.242,538.356,0.266,38.93334961,0.667146921,58.3579844,0.44,1,0.8,0,0,0,0.7,0.58,0.21632,10.816
DL68-B-S,Pot-68,Dry,Low,Conspecific,38,10.74,0.114131579,0.192052632,0.306184211,1.682,16.828,320.349,42.40512466,1.983899355,21.37463504,558.333,0.5,-1.429,29.88888889,85.5291637,0.2535,254.985,63.162,503.063,0.313,38.07392883,0.676623821,56.27045287,0.56,1,0.6,0,0,0,0.5,0.76,0.2327,11.635
