Trait,Category,Factor,p,Variance_Explained,Partial_Eta2
N,Growth,Intensity,0.251212257,1.366640711,0.023031088
N,Growth,Frequency,0.955435715,0.003204151,5.53E-05
N,Growth,Composition,0.639903294,0.224998154,0.003866126
N,Growth,TB_pot_c,3.77E-07,33.5464257,0.36655253
N,Growth,Intensity:Frequency,0.850258772,0.036579852,0.00063059
N,Growth,Intensity:Composition,0.915212305,0.011631184,0.000200593
N,Growth,Frequency:Composition,0.01387934,6.55529533,0.101589
N,Growth,Intensity:Frequency:Composition,0.599953044,0.28291061,0.004856399
H,Growth,Intensity,0.000987854,14.94938555,0.174696545
H,Growth,Frequency,0.507201678,0.55190821,0.007754137
H,Growth,Composition,0.018653922,7.266212011,0.093287797
H,Growth,TB_pot_c,0.62103899,0.306157155,0.004316315
H,Growth,Intensity:Frequency,0.151007212,2.624960379,0.035836115
H,Growth,Intensity:Composition,0.723675472,0.156412306,0.002209823
H,Growth,Frequency:Composition,0.81075494,0.071704273,0.001014265
H,Growth,Intensity:Frequency:Composition,0.10070586,3.44919834,0.046564689
SB,Growth,Intensity,0.880456034,0.036737314,0.000400214
SB,Growth,Frequency,0.28524889,1.87325878,0.020006874
SB,Growth,Composition,0.666760474,0.301600792,0.003276165
SB,Growth,TB_pot_c,0.89472079,0.028443341,0.000309888
SB,Growth,Intensity:Frequency,0.805791498,0.098215449,0.001069236
SB,Growth,Intensity:Composition,0.57111411,0.522482694,0.005661929
SB,Growth,Frequency:Composition,0.195044621,2.767648962,0.029279498
SB,Growth,Intensity:Frequency:Composition,0.20772074,2.614112196,0.027700196
TB,Growth,Intensity,0.562363124,0.449541644,0.005922472
TB,Growth,Frequency,0.241735201,1.852479495,0.023962533
TB,Growth,Composition,0.559292324,0.456664432,0.006015746
TB,Growth,TB_pot_c,0.007586616,10.14527809,0.118519424
TB,Growth,Intensity:Frequency,0.455050358,0.74891338,0.009827774
TB,Growth,Intensity:Composition,0.93478349,0.008942342,0.000118498
TB,Growth,Frequency:Composition,0.007150418,10.30635519,0.120175025
TB,Growth,Intensity:Frequency:Composition,0.511788349,0.576973347,0.007588577
R_S,Growth,Intensity,0.589247448,0.381858637,0.005146156
R_S,Growth,Frequency,0.47305468,0.675703196,0.009070263
R_S,Growth,Composition,0.35342601,1.133665384,0.015124714
R_S,Growth,TB_pot_c,0.00094029,15.77084114,0.176030205
R_S,Growth,Intensity:Frequency,0.185746536,2.323514663,0.030514604
R_S,Growth,Intensity:Composition,0.261172613,1.668051105,0.022096645
R_S,Growth,Frequency:Composition,0.12295212,3.174872392,0.041234408
R_S,Growth,Intensity:Frequency:Composition,0.371539366,1.050658248,0.014032821
SLA,Leaf,Intensity,0.004901864,11.76888033,0.130705862
SLA,Leaf,Frequency,0.820364591,0.071463126,0.000912176
SLA,Leaf,Composition,0.05469785,5.283957916,0.063238499
SLA,Leaf,TB_pot_c,0.692804082,0.216496177,0.002758315
SLA,Leaf,Intensity:Frequency,0.788372945,0.099875896,0.001274383
SLA,Leaf,Intensity:Composition,0.547519657,0.502775703,0.00638244
SLA,Leaf,Frequency:Composition,0.32769127,1.338407634,0.016811953
SLA,Leaf,Intensity:Frequency:Composition,0.187296716,2.446071223,0.030303859
LDMC,Leaf,Intensity,0.031980388,6.185422511,0.07817498
LDMC,Leaf,Frequency,0.663090987,0.245407466,0.00335335
LDMC,Leaf,Composition,0.019381498,7.409030487,0.092213599
LDMC,Leaf,TB_pot_c,0.490485109,0.616348316,0.008379567
LDMC,Leaf,Intensity:Frequency,0.411775888,0.874818444,0.011851951
LDMC,Leaf,Intensity:Composition,0.071530091,4.314821688,0.055853714
LDMC,Leaf,Frequency:Composition,0.019435702,7.402091864,0.092135197
LDMC,Leaf,Intensity:Frequency:Composition,0.915044364,0.014691928,0.000201392
LNC,Leaf,Intensity,7.59E-10,35.98625021,0.488183826
LNC,Leaf,Frequency,8.89E-06,15.7679135,0.294748227
LNC,Leaf,Composition,0.690532466,0.105990174,0.002801432
LNC,Leaf,TB_pot_c,0.199967832,1.112896344,0.028652475
LNC,Leaf,Intensity:Frequency,0.000646471,8.627138797,0.186108457
LNC,Leaf,Intensity:Composition,0.73123691,0.078860421,0.00208586
LNC,Leaf,Frequency:Composition,0.417999383,0.440535477,0.011541759
LNC,Leaf,Intensity:Frequency:Composition,0.633492428,0.152117092,0.004015719
Leaf_CN,Leaf,Intensity,1.23E-05,23.39984113,0.286893112
Leaf_CN,Leaf,Frequency,0.001124919,12.01253833,0.171178225
Leaf_CN,Leaf,Composition,0.488134728,0.496870595,0.008470354
Leaf_CN,Leaf,TB_pot_c,0.211743614,1.627629762,0.027222117
Leaf_CN,Leaf,Intensity:Frequency,0.065404167,3.601489994,0.058309963
Leaf_CN,Leaf,Intensity:Composition,0.934164298,0.007024872,0.000120764
Leaf_CN,Leaf,Frequency:Composition,0.46935205,0.541389694,0.00922229
Leaf_CN,Leaf,Intensity:Frequency:Composition,0.702719918,0.150132556,0.002574589
Chl,Physiological,Intensity,2.12E-06,29.92046416,0.328158616
Chl,Physiological,Frequency,0.463023095,0.58668093,0.00948661
Chl,Physiological,Composition,0.383313069,0.829559531,0.013361474
Chl,Physiological,TB_pot_c,0.161184333,2.165602323,0.034145931
Chl,Physiological,Intensity:Frequency,0.034000157,5.071635225,0.076462953
Chl,Physiological,Intensity:Composition,0.736954809,0.122436129,0.001994762
Chl,Physiological,Frequency:Composition,0.886319059,0.022162268,0.000361664
Chl,Physiological,Intensity:Frequency:Composition,0.879103067,0.025088183,0.000409393
PSIIeff,Physiological,Intensity,0.134197353,3.821526827,0.038923327
PSIIeff,Physiological,Frequency,0.878624686,0.038954756,0.000412664
PSIIeff,Physiological,Composition,0.606912204,0.443080795,0.004673728
PSIIeff,Physiological,TB_pot_c,0.935262792,0.011018623,0.000116759
PSIIeff,Physiological,Intensity:Frequency,0.885023091,0.034927203,0.000370014
PSIIeff,Physiological,Intensity:Composition,0.92666973,0.01414699,0.000149904
PSIIeff,Physiological,Frequency:Composition,0.387058238,1.257738611,0.013153909
PSIIeff,Physiological,Intensity:Frequency:Composition,0.914515467,0.019245338,0.000203916
Psi_osm,Physiological,Intensity,0.187641694,2.565223397,0.030257229
Psi_osm,Physiological,Frequency,0.664984828,0.273316232,0.003313382
Psi_osm,Physiological,Composition,0.854271849,0.049101645,0.000596876
Psi_osm,Physiological,TB_pot_c,0.421025057,0.94750564,0.011393384
Psi_osm,Physiological,Intensity:Frequency,0.091298647,4.255215187,0.049210019
Psi_osm,Physiological,Intensity:Composition,0.548668682,0.525070758,0.006346005
Psi_osm,Physiological,Frequency:Composition,0.020600349,8.181009516,0.090501599
Psi_osm,Physiological,Intensity:Frequency:Composition,0.411264946,0.988268663,0.011877721
SS,Physiological,Intensity,3.37E-12,54.41765175,0.575629308
SS,Physiological,Frequency,0.644451426,0.151498234,0.003762083
SS,Physiological,Composition,0.916266677,0.00784937,0.000195617
SS,Physiological,TB_pot_c,0.693302721,0.110585194,0.002748902
SS,Physiological,Intensity:Frequency,0.560780015,0.240962311,0.005970437
SS,Physiological,Intensity:Composition,0.066616323,2.461333706,0.057805452
SS,Physiological,Frequency:Composition,0.487228529,0.344155242,0.00850555
SS,Physiological,Intensity:Frequency:Composition,0.086052624,2.147686396,0.050813614
SD,Physiological,Intensity,0.002271315,12.80126704,0.151989898
SD,Physiological,Frequency,0.724415144,0.157299537,0.00219752
SD,Physiological,Composition,0.226493783,1.873129866,0.025555578
SD,Physiological,TB_pot_c,0.557412634,0.436426552,0.006073321
SD,Physiological,Intensity:Frequency,0.112934284,3.247786624,0.04349463
SD,Physiological,Intensity:Composition,0.147011604,2.708355399,0.036534451
SD,Physiological,Frequency:Composition,0.134976234,2.880851524,0.038771127
SD,Physiological,Intensity:Frequency:Composition,0.063970085,4.471690838,0.05891953
RD,Root,Intensity,0.05869348,5.504181314,0.061291099
RD,Root,Frequency,0.068925225,5.083240054,0.056870332
RD,Root,Composition,0.460908268,0.815077105,0.009576206
RD,Root,TB_pot_c,0.591990258,0.429653957,0.005070896
RD,Root,Intensity:Frequency,0.806570981,0.08949493,0.001060502
RD,Root,Intensity:Composition,0.766167402,0.132056029,0.001564056
RD,Root,Frequency:Composition,0.122011959,3.64421511,0.041437924
RD,Root,Intensity:Frequency:Composition,0.968435056,0.002336272,2.77E-05
RDMC,Root,Intensity,4.29E-09,35.89678161,0.456718173
RDMC,Root,Frequency,0.006041655,6.093393051,0.124880381
RDMC,Root,Composition,0.000664514,9.716593647,0.185370901
RDMC,Root,TB_pot_c,0.160435931,1.515095671,0.034266135
RDMC,Root,Intensity:Frequency,0.186923871,1.336720183,0.030354365
RDMC,Root,Intensity:Composition,0.387730276,0.567544522,0.013116961
RDMC,Root,Frequency:Composition,0.124678934,1.819297202,0.040864954
RDMC,Root,Intensity:Frequency:Composition,0.49452654,0.354129413,0.008225129
SRL,Root,Intensity,0.90908995,0.020315627,0.000230735
SRL,Root,Frequency,0.013957565,9.936568244,0.101431223
SRL,Root,Composition,0.862058467,0.04704768,0.000534183
SRL,Root,TB_pot_c,0.66305,0.2962556,0.003354218
SRL,Root,Intensity:Frequency,0.860851713,0.047883202,0.000543664
SRL,Root,Intensity:Composition,0.365922163,1.282805981,0.014363545
SRL,Root,Frequency:Composition,0.683250202,0.259763474,0.002942269
SRL,Root,Intensity:Frequency:Composition,0.818232674,0.082323525,0.000934333
SRA,Root,Intensity,0.116213253,3.759834683,0.042731823
SRA,Root,Frequency,0.018341724,8.714326544,0.093761664
SRA,Root,Composition,0.425793414,0.950814609,0.011162712
SRA,Root,TB_pot_c,0.954340279,0.004887187,5.80E-05
SRA,Root,Intensity:Frequency,0.794769801,0.100925006,0.001196817
SRA,Root,Intensity:Composition,0.295146479,1.649708206,0.01921021
SRA,Root,Frequency:Composition,0.569713105,0.483111697,0.005703122
SRA,Root,Intensity:Frequency:Composition,0.786470027,0.109465302,0.00129796
RTD,Root,Intensity,5.82E-05,20.06680112,0.24868893
RTD,Root,Frequency,0.043290911,4.543896572,0.069726461
RTD,Root,Composition,0.038780421,4.759277764,0.072790926
RTD,Root,TB_pot_c,0.496873352,0.497304203,0.008136406
RTD,Root,Intensity:Frequency,0.720561341,0.137444098,0.002262044
RTD,Root,Intensity:Composition,0.135060877,2.444167619,0.038754645
RTD,Root,Frequency:Composition,0.013413816,6.927097006,0.102546691
RTD,Root,Intensity:Frequency:Composition,0.983743624,0.000445456,7.35E-06
RNC,Root,Intensity,0.099969153,3.79450028,0.046762189
RNC,Root,Frequency,0.011866948,9.169847226,0.105985325
RNC,Root,Composition,0.021292816,7.610210963,0.089573693
RNC,Root,TB_pot_c,0.549984982,0.490743063,0.00630444
RNC,Root,Intensity:Frequency,0.344493724,1.233077353,0.015691361
RNC,Root,Intensity:Composition,0.705891038,0.195209318,0.002517357
RNC,Root,Frequency:Composition,0.830310855,0.062896708,0.000812482
RNC,Root,Intensity:Frequency:Composition,0.794007137,0.093391334,0.001205928
Root_CN,Root,Intensity,0.569772297,0.46330058,0.005701378
Root_CN,Root,Frequency,0.286991028,1.637509847,0.019864166
Root_CN,Root,Composition,0.006441215,11.341743,0.12309303
Root_CN,Root,TB_pot_c,0.144866903,3.097236804,0.036917971
Root_CN,Root,Intensity:Frequency,0.953353817,0.004893221,6.06E-05
Root_CN,Root,Intensity:Composition,0.250997461,1.90647808,0.02305173
Root_CN,Root,Frequency:Composition,0.472086729,0.742821153,0.009109823
Root_CN,Root,Intensity:Frequency:Composition,0.939799131,0.008156561,0.00010094
