Trait,Category,Factor,p,Variance_Explained,Partial_Eta2
N,Growth,Intensity,5.14E-09,33.95211608,0.447540085
N,Growth,Frequency,0.049256183,2.915024925,0.065028672
N,Growth,Composition,0.000956159,8.755633115,0.172806143
N,Growth,Intensity:Frequency,0.191256472,1.263493725,0.029264318
N,Growth,Intensity:Composition,0.033327803,3.434229476,0.075733954
N,Growth,Frequency:Composition,0.00246063,7.244978235,0.147385315
N,Growth,Intensity:Frequency:Composition,0.398508385,0.522785527,0.012319816
H,Growth,Intensity,1.12E-05,24.33425677,0.284897594
H,Growth,Frequency,0.341559529,0.968434934,0.015607778
H,Growth,Composition,0.012186503,7.052214788,0.103508104
H,Growth,Intensity:Frequency,0.106923169,2.82407955,0.044192621
H,Growth,Intensity:Composition,0.520973405,0.439166167,0.007138713
H,Growth,Frequency:Composition,0.716346676,0.140394858,0.002293277
H,Growth,Intensity:Frequency:Composition,0.088464007,3.161661656,0.049215289
SB,Growth,Intensity,0.938448593,0.009414702,0.000103694
SB,Growth,Frequency,0.215862915,2.450626992,0.026284497
SB,Growth,Composition,0.543975773,0.583207005,0.006383106
SB,Growth,Intensity:Frequency,0.824260609,0.07789059,0.000857241
SB,Growth,Intensity:Composition,0.482433128,0.782256823,0.008543063
SB,Growth,Frequency:Composition,0.18983518,2.754690271,0.029449722
SB,Growth,Intensity:Frequency:Composition,0.20622128,2.557849695,0.027403013
TB,Growth,Intensity,0.029667662,6.351198145,0.07893609
TB,Growth,Frequency,0.019772646,7.341362472,0.090133178
TB,Growth,Composition,0.294958057,1.427171221,0.018893927
TB,Growth,Intensity:Frequency,0.16763301,2.494872023,0.032568567
TB,Growth,Intensity:Composition,0.172618573,2.436373505,0.031829222
TB,Growth,Frequency:Composition,0.039834514,5.64979086,0.070836137
TB,Growth,Intensity:Frequency:Composition,0.700872991,0.190426049,0.002562961
R_S,Growth,Intensity,0.004114484,11.92864467,0.133380412
R_S,Growth,Frequency,0.485624843,0.65810903,0.00841973
R_S,Growth,Composition,0.287226472,1.541659656,0.019503256
R_S,Growth,Intensity:Frequency,0.04267026,5.739865705,0.06895191
R_S,Growth,Intensity:Composition,0.677323857,0.233737733,0.003006724
R_S,Growth,Frequency:Composition,0.469547644,0.708194005,0.009054707
R_S,Growth,Intensity:Frequency:Composition,0.266071941,1.685177177,0.021280233
SLA,Leaf,Intensity,0.000139089,20.18629691,0.223042413
SLA,Leaf,Frequency,0.668674418,0.224334303,0.003180137
SLA,Leaf,Composition,0.039950828,5.354282796,0.070756195
SLA,Leaf,Intensity:Frequency,0.858461518,0.038901404,0.000552915
SLA,Leaf,Intensity:Composition,0.631394338,0.282038268,0.003994874
SLA,Leaf,Frequency:Composition,0.269773012,1.505201878,0.020957042
SLA,Leaf,Intensity:Frequency:Composition,0.19426598,2.090943961,0.028876874
LDMC,Leaf,Intensity,0.012161966,8.204556306,0.103563784
LDMC,Leaf,Frequency,0.865141927,0.035631352,0.000501473
LDMC,Leaf,Composition,0.018032389,7.254161421,0.09267905
LDMC,Leaf,Intensity:Frequency,0.305958896,1.30622563,0.018060769
LDMC,Leaf,Intensity:Composition,0.092069863,3.592606403,0.048151613
LDMC,Leaf,Frequency:Composition,0.01055165,8.552729357,0.107486283
LDMC,Leaf,Intensity:Frequency:Composition,0.863722578,0.036392964,0.000512187
LNC,Leaf,Intensity,6.61E-14,50.92989834,0.623305472
LNC,Leaf,Frequency,1.44E-05,11.9149255,0.279074677
LNC,Leaf,Composition,0.712076553,0.072996994,0.002366002
LNC,Leaf,Intensity:Frequency,0.001316558,6.04938245,0.164256596
LNC,Leaf,Intensity:Composition,0.800712272,0.034125837,0.001107493
LNC,Leaf,Frequency:Composition,0.596347168,0.150532683,0.004866882
LNC,Leaf,Intensity:Frequency:Composition,0.720371141,0.068665095,0.002225907
Leaf_CN,Leaf,Intensity,2.19E-07,32.63623432,0.373079211
Leaf_CN,Leaf,Frequency,0.002382825,9.545913512,0.148256766
Leaf_CN,Leaf,Composition,0.995875784,2.55E-05,4.65E-07
Leaf_CN,Leaf,Intensity:Frequency,0.112754163,2.451978457,0.042796595
Leaf_CN,Leaf,Intensity:Composition,0.599426432,0.263730087,0.00478591
Leaf_CN,Leaf,Frequency:Composition,0.653316784,0.192747636,0.003502303
Leaf_CN,Leaf,Intensity:Frequency:Composition,0.790161751,0.067575003,0.001230664
Chl,Physiological,Intensity,8.62E-14,58.59442449,0.619879218
Chl,Physiological,Frequency,0.158027735,1.267156799,0.034064927
Chl,Physiological,Composition,0.90676949,0.008571524,0.000238497
Chl,Physiological,Intensity:Frequency,0.012532792,4.11399561,0.102734002
Chl,Physiological,Intensity:Composition,0.749036636,0.064007062,0.001778214
Chl,Physiological,Frequency:Composition,0.856599219,0.020410306,0.000567717
Chl,Physiological,Intensity:Frequency:Composition,0.982288204,0.000307967,8.57E-06
PSIIeff,Physiological,Intensity,0.027063111,8.000519731,0.081468463
PSIIeff,Physiological,Frequency,0.894878784,0.027392363,0.000303581
PSIIeff,Physiological,Composition,0.570668697,0.505848302,0.005576592
PSIIeff,Physiological,Intensity:Frequency,0.896761879,0.026414144,0.000292743
PSIIeff,Physiological,Intensity:Composition,0.949691325,0.006245041,6.92E-05
PSIIeff,Physiological,Frequency:Composition,0.380578565,1.2141502,0.013281374
PSIIeff,Physiological,Intensity:Frequency:Composition,0.919402492,0.016062805,0.000178042
Psi_osm,Physiological,Intensity,0.003763077,11.8690349,0.135820332
Psi_osm,Physiological,Frequency,0.908599908,0.017311695,0.000229185
Psi_osm,Physiological,Composition,0.75569073,0.127250626,0.001682186
Psi_osm,Physiological,Intensity:Frequency,0.121523812,3.215244203,0.04083681
Psi_osm,Physiological,Intensity:Composition,0.286355362,1.507652134,0.019573192
Psi_osm,Physiological,Frequency:Composition,0.027377487,6.669583559,0.081150026
Psi_osm,Physiological,Intensity:Frequency:Composition,0.367258181,1.075195711,0.014037611
SS,Physiological,Intensity,4.05E-19,72.20488872,0.75021493
SS,Physiological,Frequency,0.739895924,0.046124521,0.001914926
SS,Physiological,Composition,0.893054518,0.007557695,0.000314272
SS,Physiological,Intensity:Frequency,0.614053597,0.106559698,0.004412908
SS,Physiological,Intensity:Composition,0.025197872,2.188519182,0.083438166
SS,Physiological,Frequency:Composition,0.530991029,0.164656054,0.006802459
SS,Physiological,Intensity:Frequency:Composition,0.088893934,1.240979358,0.049086084
SD,Physiological,Intensity,7.53E-05,20.12714861,0.238534052
SD,Physiological,Frequency,0.900712249,0.017394783,0.000270657
SD,Physiological,Composition,0.067804984,3.836897759,0.056351824
SD,Physiological,Intensity:Frequency,0.073925897,3.669273622,0.054022956
SD,Physiological,Intensity:Composition,0.180400482,2.0364888,0.0307219
SD,Physiological,Frequency:Composition,0.158808867,2.25726975,0.033939499
SD,Physiological,Intensity:Frequency:Composition,0.068955133,3.804162202,0.055897917
RD,Root,Intensity,0.021773768,8.001006507,0.087470027
RD,Root,Frequency,0.076952095,4.666394547,0.052944908
RD,Root,Composition,0.593013292,0.415699832,0.004955527
RD,Root,Intensity:Frequency,0.696237948,0.221539549,0.002647083
RD,Root,Intensity:Composition,0.946323489,0.006579755,7.88E-05
RD,Root,Frequency:Composition,0.140232153,3.218238079,0.037124104
RD,Root,Intensity:Frequency:Composition,0.992161434,0.000140106,1.68E-06
RDMC,Root,Intensity,1.72E-12,46.80374813,0.579030461
RDMC,Root,Frequency,0.000444123,8.141274626,0.193064108
RDMC,Root,Composition,0.001445191,6.566209674,0.16175441
RDMC,Root,Intensity:Frequency,0.09038286,1.739854753,0.048643668
RDMC,Root,Intensity:Composition,0.102713211,1.612800461,0.045252172
RDMC,Root,Frequency:Composition,0.213473336,0.928293596,0.026556225
RDMC,Root,Intensity:Frequency:Composition,0.581427689,0.180330425,0.005271614
SRL,Root,Intensity,0.488861381,0.730999925,0.008296012
SRL,Root,Frequency,0.011792069,10.18814972,0.104416987
SRL,Root,Composition,0.618920601,0.376753097,0.004292975
SRL,Root,Intensity:Frequency,0.769528017,0.130551536,0.001491776
SRL,Root,Intensity:Composition,0.423634254,0.978330345,0.011071852
SRL,Root,Frequency:Composition,0.749092316,0.155592067,0.001777399
SRL,Root,Intensity:Frequency:Composition,0.847782887,0.056008271,0.000640537
SRA,Root,Intensity,0.018926165,7.879762786,0.091342176
SRA,Root,Frequency,0.008871871,9.91353246,0.112270791
SRA,Root,Composition,0.356218439,1.168943339,0.014693413
SRA,Root,Intensity:Frequency,0.797899474,0.089435672,0.001139655
SRA,Root,Intensity:Composition,0.228460556,2.002315235,0.024907834
SRA,Root,Frequency:Composition,0.565040485,0.452587568,0.005740638
SRA,Root,Intensity:Frequency:Composition,0.779662874,0.106762642,0.001360148
RTD,Root,Intensity,1.80E-07,30.61274622,0.377145311
RTD,Root,Frequency,0.012418453,5.804502382,0.102987214
RTD,Root,Composition,0.040880327,3.812708894,0.070125755
RTD,Root,Intensity:Frequency,0.587085646,0.259962597,0.005115677
RTD,Root,Intensity:Composition,0.046180557,3.618325558,0.06678932
RTD,Root,Frequency:Composition,0.016371076,5.328715264,0.095350415
RTD,Root,Intensity:Frequency:Composition,0.933332429,0.006152961,0.000121689
RNC,Root,Intensity,0.001631191,12.67680577,0.158497936
RNC,Root,Frequency,0.002717888,11.38518518,0.144685361
RNC,Root,Composition,0.017242329,6.976202439,0.093917281
RNC,Root,Intensity:Frequency,0.258359242,1.512006559,0.021971701
RNC,Root,Intensity:Composition,0.899498694,0.018671843,0.000277348
RNC,Root,Frequency:Composition,0.93534684,0.007702533,0.000114431
RNC,Root,Intensity:Frequency:Composition,0.749594741,0.119342672,0.001770048
Root_CN,Root,Intensity,0.012025484,9.04325056,0.103875545
Root_CN,Root,Frequency,0.074196221,4.446747019,0.053924795
Root_CN,Root,Composition,0.020164504,7.677279058,0.089590983
Root_CN,Root,Intensity:Frequency,0.757811565,0.129109537,0.001652192
Root_CN,Root,Intensity:Composition,0.578964619,0.418873425,0.005340448
Root_CN,Root,Frequency:Composition,0.694245499,0.209934884,0.002683725
Root_CN,Root,Intensity:Frequency:Composition,0.834095986,0.059542447,0.000762633
