"Trait","term","DF","Sum_Sq","F","p","Variance_Explained","Partial_Eta2"
"N","Intensity",1,24.2645703139428,0.520879355913287,0.473366434428914,0.755413268620658,0.00890074383102472
"N","Frequency",1,37.1739505119849,0.798000671304232,0.375383511488467,1.15731270327358,0.0135719014625218
"N","TB_pot_c",1,330.87182297538,7.10271394924473,0.00995242357629738,10.3008197571372,0.109100120692083
"N","Intensity:Frequency",1,23.6032325244228,0.506682640398058,0.479431870001038,0.734824264373727,0.0086602524281252
"N","Intensity:TB_pot_c",1,41.0003798024945,0.880141339715043,0.352053417873386,1.27643846647858,0.0149480167623406
"N","Frequency:TB_pot_c",1,12.752070083925,0.273744392170801,0.6028242465123,0.397002000000064,0.00469755968191362
"N","Intensity:Frequency:TB_pot_c",1,40.5623210310705,0.870737679655981,0.354619632475163,1.26280066436266,0.0147906704412994
"N","Residuals",58,2701.86380441418,NA,NA,84.1153888757535,NA
"H","Intensity",1,9.18041012749632,2.46565682730136,0.121798997502476,3.7470030154633,0.0407778060584644
"H","Frequency",1,2.22125086719851,0.596579269313179,0.443022245852943,0.906608047124702,0.0101811279216704
"H","TB_pot_c",1,3.21362440553568,0.863109038250809,0.356720595026937,1.31164731976877,0.0146629876055296
"H","Intensity:Frequency",1,2.51134362404829,0.674491821861899,0.41485300586421,1.02500999426915,0.0114954863846062
"H","Intensity:TB_pot_c",1,5.69993835863781,1.53087843941511,0.220966631229873,2.32644140307002,0.0257157038422185
"H","Frequency:TB_pot_c",1,4.16910597993709,1.11973043474238,0.294363802465282,1.70162906249927,0.0189400463518413
"H","Intensity:Frequency:TB_pot_c",1,2.05896458850134,0.552992733909,0.460099362164176,0.840370573286217,0.00944431203409272
"H","Residuals",58,215.952107162278,NA,NA,88.1412905845186,NA
"SB","Intensity",1,0.00055450566285313,0.890372518544505,0.349290522418581,1.37673228904856,0.0151191524262158
"SB","Frequency",1,0.000732019083540661,1.17540670672532,0.282779306235212,1.8174644120399,0.0198630946898373
"SB","TB_pot_c",1,0.000537823007181866,0.863585094824418,0.356588980521387,1.33531242218636,0.0146709564739092
"SB","Intensity:Frequency",1,0.000547942511543331,0.879834033633049,0.352136872306368,1.36043723034777,0.0149428755714643
"SB","Intensity:TB_pot_c",1,0.000742715456667264,1.19258192659778,0.279324911613849,1.84402147582774,0.020147489563416
"SB","Frequency:TB_pot_c",1,0.000560775183786541,0.900439519690762,0.346601122132138,1.39229831926993,0.0152874838801456
"SB","Intensity:Frequency:TB_pot_c",1,0.00047995569961478,0.77066726939629,0.383632839661193,1.19163888349247,0.0131131277762027
"SB","Residuals",58,0.036121205198534,NA,NA,89.6820949677873,NA
"RB","Intensity",1,0.000615885035522012,0.368168420152208,0.546372245013148,0.603589684788384,0.0063076918484407
"RB","Frequency",1,0.00113153506930254,0.676417601961763,0.41419154054447,1.10894543042183,0.0115279294409267
"RB","TB_pot_c",1,0.000178419212478326,0.106656787865076,0.745158524840454,0.174857302919703,0.00183553475214479
"RB","Intensity:Frequency",1,0.000776876591418868,0.464407171499938,0.498283585336878,0.761367251822485,0.00794341709713472
"RB","Intensity:TB_pot_c",1,0.000634403121759525,0.379238301966317,0.540420419304675,0.621738081307728,0.00649611596514345
"RB","Frequency:TB_pot_c",1,0.000183986186228904,0.109984655588055,0.741357002808677,0.180313139216308,0.00189269806626044
"RB","Intensity:Frequency:TB_pot_c",1,0.00149150011578379,0.891600233182362,0.348960999579595,1.46172423881795,0.0151396842614576
"RB","Residuals",58,0.0970244325830793,NA,NA,95.0874648707056,NA
"TB","Intensity",1,0.00261153492015759,0.751662011167295,0.389523260298143,1.19819362884715,0.0127938850653182
"TB","Frequency",1,0.00389490894000416,1.12104765077403,0.294082685681705,1.78701614932691,0.0189619043525077
"TB","TB_pot_c",1,0.000340274924473472,0.0979392356982517,0.755439354305088,0.156120924676724,0.00168576092347993
"TB","Intensity:Frequency",1,0.00238376640793134,0.686104803159433,0.410888024028708,1.09369156835583,0.0116910946034111
"TB","Intensity:TB_pot_c",1,0.00333662687081743,0.960360761357204,0.331166143196191,1.53087175959048,0.0162882443213717
"TB","Frequency:TB_pot_c",1,0.000815368280126766,0.234682430072626,0.629897832702099,0.374097650722968,0.00402994264379185
"TB","Intensity:Frequency:TB_pot_c",1,0.00306137428901576,0.881136506066164,0.351783350808179,1.40458361873783,0.0149646653979817
"TB","Residuals",58,0.201512146574916,NA,NA,92.4554246997421,NA
"R_S","Intensity",1,0.00232580671485749,0.0134027507053456,0.908234532776541,0.0227974725980298,0.000231028522200978
"R_S","Frequency",1,0.00332151136013259,0.0191406226667284,0.890443320263469,0.0325573332181677,0.000329901864476266
"R_S","TB_pot_c",1,0.0864837459382315,0.498373351263449,0.483041821494577,0.847710523667744,0.00851943947690445
"R_S","Intensity:Frequency",1,0.00508664485106181,0.0293124241278959,0.864655569295995,0.0498591073227235,0.000505131336274599
"R_S","Intensity:TB_pot_c",1,0.000312538384042327,0.00180104134209086,0.966294758574735,0.00306348984226491,3.1051472708703e-05
"R_S","Frequency:TB_pot_c",1,0.0085041323254913,0.0490061211001424,0.825579350804681,0.0833571949130287,0.000844219813133533
"R_S","Intensity:Frequency:TB_pot_c",1,0.0311446626464296,0.179474995314802,0.6733917976456,0.30527884743009,0.00308485071976424
"R_S","Residuals",58,10.0648585075847,NA,NA,98.655376031008,NA
"SLA","Intensity",1,7.19887726966937,1.1966956213593,0.278505601937516,1.93002593905887,0.020215581440791
"SLA","Frequency",1,2.5656734760957,0.42650125841393,0.516291247137952,0.687859533441867,0.00729979117742414
"SLA","TB_pot_c",1,1.33668371166561,0.222201808000265,0.639135708784042,0.358366192281343,0.00381644460532463
"SLA","Intensity:Frequency",1,3.1244313641584,0.519385619821486,0.473998663825511,0.837663062133542,0.00887544553518964
"SLA","Intensity:TB_pot_c",1,3.18970661945326,0.530236563554558,0.46943716233824,0.855163421033752,0.00905919050880317
"SLA","Frequency:TB_pot_c",1,2.9810545135457,0.495551563078304,0.484278037752413,0.799223590202416,0.00847161108556997
"SLA","Intensity:Frequency:TB_pot_c",1,3.69088160746293,0.613548709493325,0.436641661042009,0.989528918684554,0.0104676942959769
"SLA","Residuals",58,348.906500691089,NA,NA,93.5421693431636,NA
"LDMC","Intensity",1,2086.26711663491,2.31727908753018,0.133377505927083,3.32815196151445,0.0384181634613761
"LDMC","Frequency",1,1475.92592190563,1.63935492550551,0.205510950191968,2.35449512331065,0.0274878044464633
"LDMC","TB_pot_c",1,1116.61455189415,1.24025707413237,0.270015561610133,1.78129774538953,0.0209360515194985
"LDMC","Intensity:Frequency",1,1100.81933427412,1.22271285499474,0.273394557153409,1.75610016446354,0.0206460122485189
"LDMC","Intensity:TB_pot_c",1,2052.56887760716,2.27984944874473,0.136493602636835,3.27439429097192,0.0378210873051908
"LDMC","Frequency:TB_pot_c",1,1096.51282499352,1.21792948674021,0.274325180332514,1.74923013464079,0.020566904268629
"LDMC","Intensity:Frequency:TB_pot_c",1,1538.82440031704,1.70921814076594,0.196245931993499,2.45483495641833,0.0286256995818705
"LDMC","Residuals",58,52217.9194625166,NA,NA,83.3014956232908,NA
"LCC","Intensity",1,0.667607670907323,2.28558759686861,0.136010519936825,3.70234294437782,0.0379126701418654
"LCC","Frequency",1,0.0168120400673075,0.0575568435330792,0.811245851668222,0.0932343060696105,0.000991375570422239
"LCC","TB_pot_c",1,0.00246159425452674,0.008427388632343,0.927172638510157,0.013651230381733,0.000145278695039998
"LCC","Intensity:Frequency",1,0.029648572462488,0.101503341615333,0.751177439203216,0.164421692336434,0.00174700026294554
"LCC","Intensity:TB_pot_c",1,0.0803331964994598,0.275024637279015,0.601979579208052,0.445502734944428,0.00471942549987493
"LCC","Frequency:TB_pot_c",1,0.235481284697435,0.8061817247661,0.372963724728366,1.3059054155979,0.0137091322905357
"LCC","Intensity:Frequency:TB_pot_c",1,0.0582041604999084,0.199264797457979,0.656977155421952,0.322782035544023,0.00342383702184984
"LCC","Residuals",58,16.9414836542144,NA,NA,93.952159640748,NA
"LNC","Intensity",1,0.0341995768770462,0.534638799650105,0.46760693826517,0.878441935774248,0.0091337165584987
"LNC","Frequency",1,0.00133004379640589,0.0207924507764825,0.885845666873734,0.0341631784328739,0.000358362061223523
"LNC","TB_pot_c",1,0.00950202849965143,0.14854432642716,0.701340278898745,0.244066771323657,0.00255456655274603
