"Trait","term","DF","Sum_Sq","F","p","p_adj_holm","p_adj_fdr","Variance_Explained","Partial_Eta2"
"N","Intensity",1,3226.95087719298,46.9849923543629,5.14197901906079e-09,8.38142580106909e-07,1.43975412533702e-07,33.9521160797251,0.447540084546287
"N","Frequency",1,277.056140350876,4.03398785154074,0.0492561828055259,1,0.159135359833237,2.91502492469798,0.065028672043378
"N","Composition",1,832.171929824557,12.1165748250663,0.000956159304496383,0.147248532892443,0.0107089842103595,8.75563311464766,0.172806142560385
"N","Intensity:Frequency",1,120.087719298246,1.74849905926955,0.191256471688896,1,0.406722623338412,1.26349372535542,0.0292643177117314
"N","Intensity:Composition",1,326.403508771929,4.75249452121399,0.0333278033121611,1,0.121718933835719,3.43422947556427,0.0757339538049339
"N","Frequency:Composition",1,688.592982456139,10.0260392076724,0.00246063032615338,0.366633918596853,0.0206692947396884,7.24497823542071,0.147385314865452
"N","Intensity:Frequency:Composition",1,49.6877192982461,0.723462240418296,0.39850838513842,1,0.669494087032546,0.522785526508639,0.0123198158421993
"N","Residuals",58,3983.46666666667,NA,NA,NA,NA,41.9117389180803,NA
"H","Intensity",1,82.8254371929825,23.107264504424,1.12478057527929e-05,0.00178840111469406,0.00018896313664692,24.3342567731335,0.284897593891403
"H","Frequency",1,3.2962192982456,0.919604094714048,0.341559529055092,1,0.604021061907953,0.968434933789427,0.0156077779008116
"H","Composition",1,24.003312631579,6.69662500745929,0.0121865029685906,1,0.0638033041699861,7.05221478785178,0.103508104274175
"H","Intensity:Frequency",1,9.61219508771927,2.6816826072712,0.106923168926668,1,0.272168066358792,2.8240795502596,0.0441926211016084
"H","Intensity:Composition",1,1.49477052631579,0.417022343564791,0.520973405250581,1,0.817976935346706,0.439166167267296,0.00713871277300272
"H","Frequency:Composition",1,0.477855789473693,0.133315808482983,0.716346676227322,1,0.922553210002906,0.140394857856138,0.00229327721340005
"H","Intensity:Frequency:Composition",1,10.7612084210527,3.00224300407999,0.0884640070502159,1,0.240873884981538,3.16166165591081,0.0492152887538773
"H","Residuals",58,207.894593333333,NA,NA,NA,NA,61.0797912739315,NA
"SB","Intensity",1,3.55500670383424e-06,0.00601485188654099,0.938448593343797,1,0.966958440044157,0.0094147016921828,0.000103693589395848
"SB","Frequency",1,0.000925360746558163,1.5656532591523,0.21586291483823,1,0.431725829676459,2.45062699237793,0.0262844974156602
"SB","Composition",1,0.000220219915495048,0.37259850248402,0.543975772701845,1,0.838421374439541,0.583207004596484,0.00638310632116479
"SB","Intensity:Frequency",1,2.94116139233774e-05,0.049762635131585,0.824260609054846,1,0.956209498258781,0.0778905904946951,0.000857240975202004
"SB","Intensity:Composition",1,0.000295381451445309,0.499767181467986,0.482433127873451,1,0.782178209193776,0.78225682324655,0.00854306274275748
"SB","Frequency:Composition",1,0.00104017553597625,1.75991279514398,0.189835179957372,1,0.406722623338412,2.75469027053045,0.0294497216081445
"SB","Intensity:Frequency:Composition",1,0.00096584821400883,1.6341555547216,0.206221280197317,1,0.422502135038406,2.55784969547688,0.0274030132483735
"SB","Residuals",58,0.0342802105042293,NA,NA,NA,NA,90.7840639215848,NA
"RB","Intensity",1,0.020073236079178,9.11542197414959,0.00376352195949288,0.553172254110546,0.0274900734432524,11.4465826351008,0.135817099945531
"RB","Frequency",1,0.00736965603286754,3.3466215551367,0.0724847885857903,1,0.218683599475654,4.20248018006382,0.0545526627269742
"RB","Composition",1,0.00453320537746288,2.05856593067829,0.156722993937086,1,0.365477940447232,2.58501966251657,0.0342759754379477
"RB","Intensity:Frequency",1,0.00677462010322649,3.0764108344007,0.0847181464357429,1,0.23721081002008,3.86316628405701,0.0503698693549939
"RB","Intensity:Composition",1,0.00316287048172789,1.43628555838278,0.235615441499548,1,0.460272025254931,1.80359849256065,0.0241651298510562
"RB","Frequency:Composition",1,0.00548664577818428,2.49153107618331,0.119899292443488,1,0.295884063362948,3.12871049001707,0.0411880974387218
"RB","Intensity:Frequency:Composition",1,0.000241358786863183,0.109603014718135,0.74178969067271,1,0.922553210002906,0.137632681030584,0.00188614289260201
"RB","Residuals",58,0.127722852095494,NA,NA,NA,NA,72.8328095746534,NA
"TB","Intensity",1,0.0181047492650482,4.97065751943268,0.0296676624279375,1,0.1107592730643,6.35119814542006,0.0789360904783112
"TB","Frequency",1,0.0209273154097242,5.7455928375492,0.0197726460343537,1,0.0868624776731417,7.34136247197054,0.0901331775545866
"TB","Composition",1,0.00406829963773958,1.11695135290688,0.294958056884006,1,0.53861906039688,1.42717122098492,0.0188939268237817
"TB","Intensity:Frequency",1,0.00711189154972691,1.95256927845367,0.167633010257971,1,0.375497942977855,2.49487202279318,0.0325685671515567
"TB","Intensity:Composition",1,0.0069451354545885,1.90678640534804,0.172618572518598,1,0.381577897146376,2.4363735047151,0.0318292220258007
"TB","Frequency:Composition",1,0.0161053150263138,4.42171300283764,0.0398345142340638,1,0.13982789875061,5.64979086034626,0.0708361368204783
"TB","Intensity:Frequency:Composition",1,0.000542829208465184,0.149033717469601,0.700872990672592,1,0.922553210002906,0.19042604852527,0.00256296120402818
"TB","Residuals",58,0.211254839680173,NA,NA,NA,NA,74.1088057252447,NA
"R_S","Intensity",1,1.95300370614035,8.92671252245759,0.00411448440405921,0.596600238588585,0.0288013908284144,11.9286446677033,0.133380412484211
"R_S","Frequency",1,0.107748148245614,0.492490997939057,0.485624843381966,1,0.782178209193776,0.658109029687925,0.00841973028566026
"R_S","Composition",1,0.252406464035086,1.15368953789857,0.28722647166368,1,0.530264255379101,1.54165965575982,0.0195032557886253
"R_S","Intensity:Frequency",1,0.939752948245616,4.29538581250276,0.0426702600765248,1,0.143372073857123,5.73986570522305,0.068951909623468
"R_S","Intensity:Composition",1,0.0382684429824565,0.174915893970095,0.677323857242762,1,0.917664580780516,0.233737732749178,0.00300672362447241
"R_S","Frequency:Composition",1,0.115948253508773,0.529971716540852,0.469547643756405,1,0.773372589716432,0.708194004751947,0.00905470652040448
"R_S","Intensity:Frequency:Composition",1,0.275903706140351,1.2610898078954,0.26607194094596,1,0.507955523624105,1.6851771774437,0.0212802331510174
"R_S","Residuals",58,12.6893539666667,NA,NA,NA,NA,77.5046120266811,NA
"SLA","Intensity",1,86.9240120008772,16.6501495051768,0.000139088776708691,0.0216978491665558,0.00179745496054309,20.1862969118238,0.223042413384881
"SLA","Frequency",1,0.966003706140327,0.185036398568775,0.668674418065531,1,0.917664580780516,0.224334302814671,0.00318013719715275
"SLA","Composition",1,23.0560237973684,4.41634289978728,0.0399508282144601,1,0.13982789875061,5.35428279558769,0.0707561945254939
"SLA","Intensity:Frequency",1,0.167512948245587,0.0320868258164824,0.858461518032571,1,0.956209498258781,0.0389014040197118,0.000552915250364701
"SLA","Intensity:Composition",1,1.21448217631581,0.232632035056397,0.631394337869444,1,0.883952073017222,0.282038268148294,0.00399487412687016
"SLA","Frequency:Composition",1,6.48153480789472,1.24152718092862,0.269773012122787,1,0.509234449849755,1.50520187764876,0.0209570421291958
"SLA","Intensity:Frequency:Composition",1,9.00379295526312,1.72466152180454,0.194265979692237,1,0.407958557353697,2.0909439606365,0.0288768739388316
"SLA","Residuals",58,302.795641233333,NA,NA,NA,NA,70.3180004793206,NA
