"Trait","term","DF","Sum_Sq","F","p","Variance_Explained","Partial_Eta2"
"N","Intensity",1,59.4847319269084,1.34371935002636,0.251212257368048,1.36664071053951,0.0230310882644432
"N","Frequency",1,0.139464628765836,0.00315041043720539,0.955435714679272,0.00320415059759986,5.52673039037603e-05
"N","Composition",1,9.79332371516557,0.221224474766225,0.639903293537433,0.224998154099152,0.00386612619350329
"N","TB_pot_c",1,1460.14978523064,32.9837835154419,3.77445795175482e-07,33.5464257018703,0.366552530098733
"N","Intensity:Frequency",1,1.59218342454778,0.0359663329908745,0.850258772076312,0.0365798519409467,0.00063059040292039
"N","Intensity:Composition",1,0.506261688142786,0.0114361047700502,0.915212304765311,0.011631183511973,0.00020059317132503
"N","Frequency:Composition",1,285.32735957215,6.44534961711063,0.0138793402087839,6.55529533025689,0.101588999918954
"N","Intensity:Frequency:Composition",1,12.3140351729244,0.278165620029948,0.599953044352901,0.282910609717671,0.00485639889159918
"N","Residuals",57,2523.31688143604,NA,NA,57.9723143074659,NA
"H","Intensity",1,43.8162531575996,12.0655050820368,0.000987854369200536,14.9493855489034,0.174696544500837
"H","Frequency",1,1.61762834782959,0.445439800189752,0.507201677958269,0.551908209941176,0.00775413682511803
"H","Composition",1,21.2970749827196,5.86448972513193,0.0186539219055841,7.26621201122397,0.0932877965091861
"H","TB_pot_c",1,0.897338514593088,0.247096491094023,0.621038989957537,0.30615715529765,0.00431631482187859
"H","Intensity:Frequency",1,7.69368935804033,2.11858023814041,0.15100721153266,2.62496037927176,0.0358361149676868
"H","Intensity:Composition",1,0.45844032552435,0.126238865234082,0.72367547226976,0.156412305561084,0.0022098228019508
"H","Frequency:Composition",1,0.210163324506254,0.0578718278527236,0.810754940011055,0.0717042727268973,0.00101426544662105
"H","Intensity:Frequency:Composition",1,10.1095089931358,2.78381475693159,0.10070586047795,3.44919833982382,0.046564689259961
"H","Residuals",57,206.99725481874,NA,NA,70.6240617772502,NA
"SB","Intensity",1,1.37206505805842e-05,0.0228213159381164,0.880456034061113,0.0367373141746086,0.000400213728669679
"SB","Frequency",1,0.000699624611752082,1.16367326819545,0.285248890328936,1.87325877991496,0.0200068737548555
"SB","Composition",1,0.000112641851380539,0.187355203247234,0.666760474044096,0.301600792110561,0.00327616485464946
"SB","TB_pot_c",1,1.06230179499622e-05,0.0176690782575156,0.894720789963752,0.0284433413429038,0.000309887768882038
"SB","Intensity:Frequency",1,3.6681501757535e-05,0.0610116944365501,0.805791497969644,0.098215448790012,0.00106923611455173
"SB","Intensity:Composition",1,0.000195136815125389,0.324567620389375,0.571114109917521,0.52248269440214,0.00566192880055726
"SB","Frequency:Composition",1,0.00103366141997713,1.71927079549136,0.1950446211468,2.76764896189454,0.0292794984031609
"SB","Intensity:Frequency:Composition",1,0.000976318514932059,1.62389335364507,0.207720740100049,2.61411219583868,0.0277001962979332
"SB","Residuals",57,0.0342695874862794,NA,NA,91.7575004715316,NA
"RB","Intensity",1,0.00267843939591385,1.65615340916329,0.203325303155893,1.80904903637213,0.0282349474506211
"RB","Frequency",1,2.44285208830797e-06,0.00151048323897303,0.969133877475904,0.00164993063613649,2.64990037310885e-05
"RB","Composition",1,0.00223115963012961,1.37958791730135,0.245055094125992,1.50695109437085,0.0236313404482339
"RB","TB_pot_c",1,0.0355387315168213,21.9745839494125,1.76411662025484e-05,24.0032714955112,0.278248809306655
"RB","Intensity:Frequency",1,0.00112957115331506,0.698445191371218,0.406796292283065,0.762925459331205,0.0121050955368841
"RB","Intensity:Composition",1,0.00108933518888546,0.673566177956645,0.415230239522846,0.735749622241173,0.011678941022622
"RB","Frequency:Composition",1,0.0132006560104254,8.16233194904854,0.00595967816666895,8.91587618953467,0.12526150775928
"RB","Intensity:Frequency:Composition",1,3.40955035264823e-06,0.00210821960312665,0.963538206159553,0.00230284985702134,3.69849408903376e-05
"RB","Residuals",57,0.0921841205786729,NA,NA,62.2622243221456,NA
"TB","Intensity",1,0.00110943578909567,0.339592127059304,0.562363123875959,0.449541644113586,0.00592247196852741
"TB","Frequency",1,0.00457178345267376,1.39939749772587,0.241735201273944,1.85247949457399,0.023962533137099
"TB","Composition",1,0.00112701430631781,0.344972813452054,0.559292324107834,0.456664431760055,0.00601574639461908
"TB","TB_pot_c",1,0.0250378018293221,7.66393194061241,0.00758661597610618,10.145278086367,0.118519423589196
"TB","Intensity:Frequency",1,0.00184826326484402,0.565743109824837,0.4550503582026,0.748913380115483,0.00982777393745275
"TB","Intensity:Composition",1,2.20690443857308e-05,0.00675521179213575,0.934783490255277,0.00894234221997105,0.000118498444035952
"TB","Frequency:Composition",1,0.0254353283117014,7.78561258679348,0.00715041765470993,10.3063551944105,0.120175024606938
"TB","Intensity:Frequency:Composition",1,0.00142392788146481,0.43585640809356,0.511788349416841,0.576973347375642,0.00758857681161243
