"SampleID","Pot","Intensity","Frequency","Composition","N","H","PC1","PC2","Category"
"WL1-B-S","Pot-1","Wet","Low","Conspecific",35,16.84,1.48150317649759,5.10490701936717,"All"
"WL2-B-S","Pot-2","Wet","Low","Conspecific",54,13.34,2.2692871915055,-0.465371682817071,"All"
"WL3-B-S","Pot-3","Wet","Low","Conspecific",52,15.96,1.93086759024739,0.239869688159792,"All"
"WL4-B-S","Pot-4","Wet","Low","Conspecific",57,16.32,2.44263924779766,-0.651161930775076,"All"
"WL5-B-S","Pot-5","Wet","Low","Conspecific",51,12.38,2.37722058574786,0.984239449888468,"All"
"WL6-B-S","Pot-6","Wet","Low","Conspecific",69,11.98,1.62797525789502,-0.812349880025115,"All"
"WL7-B-S","Pot-7","Wet","Low","Conspecific",57,13.62,2.88882531488961,-1.61499239889535,"All"
"WL8-B-S","Pot-8","Wet","Low","Conspecific",46,14.96,2.33535986385517,0.0922964647308332,"All"
"WL9-B-S","Pot-9","Wet","Low","Conspecific",55,12.86,1.51770938851339,-0.824038776350682,"All"
"WL10-B-S","Pot-10","Wet","Low","Conspecific",52,11.92,2.73600304204283,-1.34071722181237,"All"
"WL21-B-M","Pot-21","Wet","Low","Heterospecific",30,17.15,2.32360286842474,0.710285667627327,"All"
"WL22-B-M","Pot-22","Wet","Low","Heterospecific",40,15.18,2.35400842795699,-1.11409357115686,"All"
"WL23-B-M","Pot-23","Wet","Low","Heterospecific",20,10.52,0.913970021472103,-2.38116500562508,"All"
"WL24-B-M","Pot-24","Wet","Low","Heterospecific",38,11.1,1.96835043844328,-2.69357607749875,"All"
"WL25-B-M","Pot-25","Wet","Low","Heterospecific",29,14.76,1.41513709087196,-0.675794171327043,"All"
"WL26-B-M","Pot-26","Wet","Low","Heterospecific",33,9.52,1.26690628828714,-2.12583133870588,"All"
"WL27-B-M","Pot-27","Wet","Low","Heterospecific",44,10.76,1.75770669017531,0.814481836450864,"All"
"WL28-B-M","Pot-28","Wet","Low","Heterospecific",50,9.64,0.551446900203519,-1.01166901013991,"All"
"WL29-B-M","Pot-29","Wet","Low","Heterospecific",20,10.46,2.12729741265957,-1.47145487713061,"All"
"WL30-B-M","Pot-30","Wet","Low","Heterospecific",38,13.46,2.21524028392737,0.119737798155606,"All"
"WH31-B-S","Pot-31","Wet","High","Conspecific",61,11.32,2.20423200635495,-0.150662056261772,"All"
"WH32-B-S","Pot-32","Wet","High","Conspecific",41,12.34,2.25078840508601,2.73499237808873,"All"
"WH33-B-S","Pot-33","Wet","High","Conspecific",38,13.42,2.17394271346556,2.39505337409524,"All"
"WH34-B-S","Pot-34","Wet","High","Conspecific",38,11.34,1.28068410605969,0.128679499832566,"All"
"WH35-B-S","Pot-35","Wet","High","Conspecific",57,11.62,3.20002167048855,2.54212682519482,"All"
"WH36-B-S","Pot-36","Wet","High","Conspecific",49,14.24,1.89796097604941,-2.26935124959596,"All"
"WH37-B-S","Pot-37","Wet","High","Conspecific",44,11.32,1.73677394886801,2.07001020452495,"All"
"WH38-B-S","Pot-38","Wet","High","Conspecific",39,13.84,0.960721032718961,1.62368215966764,"All"
"WH39-B-S","Pot-39","Wet","High","Conspecific",47,14.32,1.67611764605683,1.4289294533147,"All"
"WH40-B-S","Pot-40","Wet","High","Conspecific",44,15.52,2.50286769468158,0.209381366995273,"All"
"WH51-B-M","Pot-51","Wet","High","Heterospecific",42,10.32,2.31534211026546,-0.485005338578203,"All"
"WH52-B-M","Pot-52","Wet","High","Heterospecific",28,12.68,0.802434725605837,1.61379355305188,"All"
"WH53-B-M","Pot-53","Wet","High","Heterospecific",41,14.64,1.47516414436638,-0.0075084823526866,"All"
"WH54-B-M","Pot-54","Wet","High","Heterospecific",39,12.6,1.00837225053412,0.778072092850397,"All"
"WH55-B-M","Pot-55","Wet","High","Heterospecific",47,12.7,0.129296027788629,-0.60385684779819,"All"
"WH56-B-M","Pot-56","Wet","High","Heterospecific",14,12.94,1.28305963650487,0.329608012036258,"All"
"WH57-B-M","Pot-57","Wet","High","Heterospecific",39,13.52,2.23513644227056,1.65367285895853,"All"
"WH58-B-M","Pot-58","Wet","High","Heterospecific",41,14.34,1.325039161521,2.33376725458722,"All"
"WH59-B-M","Pot-59","Wet","High","Heterospecific",44,12.58,1.6130937251155,-1.49226897526725,"All"
"WH60-B-M","Pot-60","Wet","High","Heterospecific",45,9.9,0.14132361543393,-3.70926185897975,"All"
"DL61-B-S","Pot-61","Dry","Low","Conspecific",40,8.82,-2.65848212045727,-0.138624459755648,"All"
"DL62-B-S","Pot-62","Dry","Low","Conspecific",38,11.46,-1.26994517959688,0.53437838886757,"All"
"DL63-B-S","Pot-63","Dry","Low","Conspecific",46,8.42,-3.03711416749006,-2.49449083527418,"All"
"DL64-B-S","Pot-64","Dry","Low","Conspecific",47,8.7,-0.0172203428321655,-0.891952279097096,"All"
"DL65-B-S","Pot-65","Dry","Low","Conspecific",25,10.5,-0.686467882767989,1.39853075298348,"All"
"DL66-B-S","Pot-66","Dry","Low","Conspecific",32,12.48,-1.53689186777087,1.33002915578075,"All"
"DL67-B-S","Pot-67","Dry","Low","Conspecific",29,10.06,-1.8992064744695,-1.64780167453927,"All"
"DL68-B-S","Pot-68","Dry","Low","Conspecific",38,10.74,-2.78470902899886,-1.19207704897606,"All"
"DL69-B-S","Pot-69","Dry","Low","Conspecific",36,9.54,-3.1560572493379,1.9702152874187,"All"
"DL70-B-S","Pot-70","Dry","Low","Conspecific",37,9.34,-2.17367667849113,-0.34408979316672,"All"
"DL81-B-M","Pot-81","Dry","Low","Heterospecific",25,8.82,-4.59057855970687,0.588272897912786,"All"
"DL82-B-M","Pot-82","Dry","Low","Heterospecific",26,9.98,-4.52455498398843,0.0829399795366576,"All"
"DL83-B-M","Pot-83","Dry","Low","Heterospecific",31,8.96,-1.85366367580603,-2.0424795270095,"All"
"DL84-B-M","Pot-84","Dry","Low","Heterospecific",21,12.22,-2.62434924273163,-0.349992873494419,"All"
"DL85-B-M","Pot-85","Dry","Low","Heterospecific",32,7.58,-3.61017677606331,-1.36678068256788,"All"
"DL86-B-M","Pot-86","Dry","Low","Heterospecific",33,6.86,-3.60698457037405,0.312584081707799,"All"
"DL87-B-M","Pot-87","Dry","Low","Heterospecific",26,8.38,-3.70879867806582,-0.725911148822689,"All"
"DL88-B-M","Pot-88","Dry","Low","Heterospecific",14,11.05,-1.16706133656486,-2.08628807848769,"All"
"DL89-B-M","Pot-89","Dry","Low","Heterospecific",10,11.9,-0.958563337519762,-0.517835913696842,"All"
"DL90-B-M","Pot-90","Dry","Low","Heterospecific",26,8.26,-4.36678390871742,-1.98242745972301,"All"
"DH96-B-S","Pot-96","Dry","High","Conspecific",25,9.22,-3.41548771389884,-0.446843400449842,"All"
"DH97-B-S","Pot-97","Dry","High","Conspecific",19,12.8,-1.76303390994917,0.253831965942319,"All"
"DH98-B-S","Pot-98","Dry","High","Conspecific",15,15.5,-5.0104908072582,6.75912592990067,"All"
"DH114-B-M","Pot-114","Dry","High","Heterospecific",28,10.32,-3.53626071600204,1.04702150767032,"All"
"DH117-B-M","Pot-117","Dry","High","Heterospecific",28,10.9,-2.97652496621154,0.152050182149257,"All"
"DH119-B-M","Pot-119","Dry","High","Heterospecific",22,7.78,-3.7803449455794,-0.208841161294047,"All"
