"Trait","PC1_loading","PC1_contrib","PC1_cos2","PC2_loading","PC2_contrib","PC2_cos2","Total_contrib"
"Root C:N",0.262059727400529,1.17554275151913,0.0686753007252398,-0.813658001318774,21.4155191682816,0.662039343110061,22.5910619198007
"RNC",-0.284112873480479,1.3817188523267,0.0807201248773348,0.792850803577977,20.3342308456185,0.628612396734244,21.7159496979452
"SRL",0.110715677588847,0.209824454499281,0.0122579612639575,0.756164280307856,18.4959705320557,0.571784418813498,18.705794986555
"RDMC",-0.724315115151388,8.98034361851793,0.524632386036768,-0.359773122785669,4.18699304835118,0.129436699878952,13.1673366668691
"LNC",-0.818797997246077,11.4760227769048,0.670430160294186,0.185332882690951,1.11109135862169,0.034348277406538,12.5871141355265
"RD",0.343270954740964,2.01702821782668,0.117834948368773,-0.566657173135633,10.3868913711772,0.321100351866067,12.4039195890039
"SS",0.841017386920606,12.1073140259317,0.707310245102765,-0.0447143561825676,0.0646753476911963,0.00199937364882152,12.1719893736229
"RTD",-0.618768016732263,6.55380587181905,0.382873858530778,-0.413078546108035,5.51963154223523,0.170633885254728,12.0734374140543
"H",0.613213302706041,6.4366662855498,0.37603055461565,0.396338370333716,5.08132586219422,0.157084103798786,11.517992147744
"Chl",-0.789607724029073,10.672364119863,0.623480357846372,0.0557715571030393,0.100616764541091,0.00311046658169757,10.7729808844041
"SD",-0.648761903107097,7.20457781306803,0.420892006923142,0.274540858399246,2.43814080366009,0.0753726829305948,9.64271861672812
"SLA",-0.604763020135196,6.26048980270721,0.365738310523043,-0.276652283801095,2.47578728197733,0.0765364861323618,8.73627708468454
"Leaf C:N",0.694352996226254,8.25274613488082,0.482126083368376,-0.0697134310051165,0.157209115071587,0.00485996246250513,8.4099552499524
"N",0.571395517941506,5.58870925923719,0.326492837923642,-0.0892242642466491,0.257519878639592,0.00796096933035586,5.84622913787678
"LDMC",0.389703816396999,2.5996038762778,0.151869064514386,0.278458175795962,2.50821497040893,0.077538955667615,5.10781884668673
"SB",-0.00409213508513208,0.000286640651042222,1.6745569554969e-05,0.322169744988697,3.3574868074778,0.103793344586082,3.35777344812884
"Phi_osm",-0.439612524889789,3.30809499859511,0.193259172039975,0.00713999138557569,0.00164907414936395,5.09794769860951e-05,3.30974407274447
"PSIIeff",-0.397455038012742,2.70404472613459,0.15797050724171,-0.126543542203845,0.517994063258836,0.0160132680734963,3.22203878939343
"R/S",0.333386455758189,1.90253985064692,0.111146528883007,-0.17183442086407,0.955135826089428,0.0295270681936902,2.85767567673635
"TB",0.261248487133723,1.16827592304322,0.0682507720296592,0.139988889563402,0.633916338499383,0.0195968892011943,1.8021922615426
