"SampleID","Pot","Intensity","Frequency","Composition","N","H","PC1","PC2","Category"
"WL1-B-S","Pot-1","Wet","Low","Conspecific",35,16.84,-2.63841102965261,0.0776359666662849,"Growth"
"WL2-B-S","Pot-2","Wet","Low","Conspecific",54,13.34,-0.365164701735778,-0.372298369032604,"Growth"
"WL3-B-S","Pot-3","Wet","Low","Conspecific",52,15.96,-0.442402800636675,-1.17812528806524,"Growth"
"WL4-B-S","Pot-4","Wet","Low","Conspecific",57,16.32,-0.580612468247493,-1.55251938875821,"Growth"
"WL5-B-S","Pot-5","Wet","Low","Conspecific",51,12.38,-0.253794492123385,-0.654858444418767,"Growth"
"WL6-B-S","Pot-6","Wet","Low","Conspecific",69,11.98,0.788350030963153,-0.531748317512356,"Growth"
"WL7-B-S","Pot-7","Wet","Low","Conspecific",57,13.62,-0.379236569024463,-1.92125282820481,"Growth"
"WL8-B-S","Pot-8","Wet","Low","Conspecific",46,14.96,-1.32945502353977,-1.57589348005796,"Growth"
"WL9-B-S","Pot-9","Wet","Low","Conspecific",55,12.86,0.579027852194088,-2.23815916884749,"Growth"
"WL10-B-S","Pot-10","Wet","Low","Conspecific",52,11.92,0.212617085750512,-1.20332658836821,"Growth"
"WL21-B-M","Pot-21","Wet","Low","Heterospecific",30,17.15,-3.61268265387474,-0.737702757583229,"Growth"
"WL22-B-M","Pot-22","Wet","Low","Heterospecific",40,15.18,-0.917629438074887,0.475846168624536,"Growth"
"WL23-B-M","Pot-23","Wet","Low","Heterospecific",20,10.52,0.335105687440151,-0.0845931717288348,"Growth"
"WL24-B-M","Pot-24","Wet","Low","Heterospecific",38,11.1,0.697167594991307,0.248497992401607,"Growth"
"WL25-B-M","Pot-25","Wet","Low","Heterospecific",29,14.76,-1.3465506338404,-0.154381835599687,"Growth"
"WL26-B-M","Pot-26","Wet","Low","Heterospecific",33,9.52,1.64848716316124,0.168069352047176,"Growth"
"WL27-B-M","Pot-27","Wet","Low","Heterospecific",44,10.76,1.10283637973099,1.12407593349052,"Growth"
"WL28-B-M","Pot-28","Wet","Low","Heterospecific",50,9.64,1.09197877114518,0.163415925300997,"Growth"
"WL29-B-M","Pot-29","Wet","Low","Heterospecific",20,10.46,-0.416813907658751,-0.499501472479289,"Growth"
"WL30-B-M","Pot-30","Wet","Low","Heterospecific",38,13.46,-0.515272519725568,-1.33227283597288,"Growth"
"WH31-B-S","Pot-31","Wet","High","Conspecific",61,11.32,2.21619745191315,-1.75007191814677,"Growth"
"WH32-B-S","Pot-32","Wet","High","Conspecific",41,12.34,-1.30453030329426,-2.8529910256035,"Growth"
"WH33-B-S","Pot-33","Wet","High","Conspecific",38,13.42,-0.494383937447704,-1.79409828893902,"Growth"
"WH34-B-S","Pot-34","Wet","High","Conspecific",38,11.34,-1.5655468869993,-0.104259667356761,"Growth"
