"PC1","PC2","Trait","Category"
0.257169595382005,-0.544607834228345,"N","Growth"
-0.368800826327994,-0.382729418834951,"H","Growth"
-0.67423744951561,0.115271408866129,"SB","Growth"
-0.553537934608784,-0.361317208495161,"TB","Growth"
0.191961887703191,-0.642715237098557,"R/S","Growth"
0.48947434207005,0.465154478382142,"SLA","Leaf"
-0.402546382599688,-0.628817589943701,"LDMC","Leaf"
0.556479140982404,-0.417071827225938,"LNC","Leaf"
-0.537310193428791,0.462893984355867,"Leaf C:N","Leaf"
0.521507416694185,0.246396035709338,"Chl","Physiological"
0.294283654937248,0.793761465251992,"PSIIeff","Physiological"
0.368416154683859,-0.443149912783205,"Phi_osm","Physiological"
-0.53322162783555,0.0864378393871958,"SS","Physiological"
0.470501198028333,-0.324620369955496,"SD","Physiological"
0.363563874832674,0.377566774367552,"RD","Root"
0.292163089894863,-0.596459668997404,"RDMC","Root"
-0.519491178902259,0.0388156658246287,"SRL","Root"
0.328473779853227,-0.587480492316656,"RTD","Root"
-0.460892051314762,-0.270382242144106,"RNC","Root"
0.438491101216756,0.286238803309902,"Root C:N","Root"
-0.464224566707819,-0.0334565347117149,"SER","Fitness"
-0.316431867855923,0.267631034932566,"SSR1","Fitness"
-0.323398017865049,-0.249692543808158,"SSR2","Fitness"
0.0662653447465312,-0.916885619767319,"SPtotal","Fitness"
-0.526845467084143,0.0568006469888088,"RP1","Fitness"
-0.545731531624865,-0.144921943673723,"RP2","Fitness"
