"Category","Term","df","Variance_explained","Percent_total_variance","F_value","p_value"
"Growth","Intensity",1,0.763257829701474,15.2651565940295,13.144213343392,0.001
"Growth","Frequency",1,0.104504655894617,2.09009311789233,1.79969525238132,0.129
"Growth","Composition",1,0.291548344625608,5.83096689251215,5.02081143821428,0.003
"Growth","Intensity:Frequency",1,0.121552105757345,2.43104211514689,2.09327274249906,0.076
"Growth","Intensity:Composition",1,0.118278834487412,2.36557668974824,2.03690309356979,0.089
"Growth","Frequency:Composition",1,0.155840239593866,3.11680479187732,2.68375544540208,0.038
"Growth","Intensity:Frequency:Composition",1,0.0770755375341272,1.54151075068254,1.32733300528529,0.262
"Growth","Residual",58,3.36794245240555,67.358849048111,NA,NA
"Leaf","Intensity",1,1.08099620512952,27.024905128238,27.8517585785952,0.001
"Leaf","Frequency",1,0.178233040154955,4.45582600387388,4.59215636610871,0.015
"Leaf","Composition",1,0.142160577742936,3.5540144435734,3.66275299756069,0.027
"Leaf","Intensity:Frequency",1,0.112088901111952,2.8022225277988,2.88795927154626,0.045
"Leaf","Intensity:Composition",1,0.0949482368861618,2.37370592215405,2.44633178050778,0.091
"Leaf","Frequency:Composition",1,0.119651866178436,2.99129665446089,3.08281830636111,0.045
"Leaf","Intensity:Frequency:Composition",1,0.0207965366053082,0.519913415132706,0.535820675459784,0.606
"Leaf","Residual",58,2.25112463619073,56.2781159047682,NA,NA
"Physiological","Intensity",1,1.88990015366088,37.7980030732177,40.1587364046229,0.001
"Physiological","Frequency",1,0.012459243836187,0.249184876723741,0.264748107485544,0.905
"Physiological","Composition",1,0.0240876649061175,0.48175329812235,0.511841952969771,0.7
"Physiological","Intensity:Frequency",1,0.106275430609722,2.12550861219444,2.25826057311884,0.075
"Physiological","Intensity:Composition",1,0.0721202438520376,1.44240487704075,1.53249252701569,0.202
"Physiological","Frequency:Composition",1,0.109293294742788,2.18586589485577,2.32238756416121,0.062
"Physiological","Intensity:Frequency:Composition",1,0.0563406136755313,1.12681227351063,1.19718909440141,0.304
"Physiological","Residual",58,2.72952335471673,54.5904670943347,NA,NA
"Root","Intensity",1,1.22269441688475,20.3782402814126,18.7430279280389,0.001
"Root","Frequency",1,0.426199558939666,7.10332598232777,6.53333337080001,0.001
"Root","Composition",1,0.328704010439086,5.47840017398478,5.03879658125476,0.009
"Root","Intensity:Frequency",1,0.0356763202800683,0.594605338001138,0.546892386310788,0.654
"Root","Intensity:Composition",1,0.101922886162971,1.69871476938284,1.56240469857232,0.224
"Root","Frequency:Composition",1,0.0974205886829314,1.62367647804886,1.4933877093366,0.215
"Root","Intensity:Frequency:Composition",1,0.00377391094601309,0.0628985157668849,0.0578513464053236,0.997
"Root","Residual",58,3.7836083076645,63.0601384610751,NA,NA
"Fitness","Intensity",1,1.11176634736678,18.5294391227796,18.5452238350651,0.001
"Fitness","Frequency",1,0.0945996567513825,1.57666094585638,1.5780040593331,0.156
"Fitness","Composition",1,0.864494767157258,14.4082461192876,14.4205201022195,0.001
"Fitness","Intensity:Frequency",1,0.191571178269756,3.19285297116261,3.19557287353987,0.025
"Fitness","Intensity:Composition",1,0.088107803349402,1.4684633891567,1.46971433215319,0.201
"Fitness","Frequency:Composition",1,0.103787582108194,1.72979303513657,1.73126659756833,0.115
"Fitness","Intensity:Frequency:Composition",1,0.0686346566799236,1.14391094466539,1.14488541048824,0.319
"Fitness","Residual",58,3.4770380083173,57.950633471955,NA,NA
