"Trait","BestModel","AIC","BIC","Delta_AIC"
"Chl","BiomassOnly",677.933267982482,697.64016066072,0
"H","NoBiomass",281.026731845859,300.733624524097,0
"LCC","BiomassOnly",115.547181115895,135.254073794133,0
"LDMC","NoBiomass",631.24418390127,650.951076579508,0
"LNC","BiomassOnly",15.3129571047799,35.0198497830177,0
"Leaf_CN","BiomassOnly",405.651214625209,425.358107303447,0
"N","WithBiomass",447.782422906427,469.678970326691,0
"PSIIeff","NoBiomass",-146.355114301177,-126.64822162294,0
"Psi_osm","NoBiomass",-60.6052565113777,-40.8983638331399,0
"RB","WithBiomass",-226.559174413199,-204.662626992935,0
"RCC","BiomassOnly",282.953456334906,302.660349013144,0
"RD","BiomassOnly",-321.693409528923,-301.986516850685,0
"RDMC","WithBiomass",595.829184381102,617.725731801366,0
"RNC","NoBiomass",-145.833229251696,-126.126336573458,0
"RTD","NoBiomass",-321.335526044534,-301.628633366296,0
"R_S","BiomassOnly",81.1799734836903,100.886866161928,0
"Root_CN","WithBiomass",391.050127446485,412.946674866749,0
"SB","NoBiomass",-293.847671530451,-274.140778852213,0
"SD","BiomassOnly",475.649846831782,495.35673951002,0
"SLA","NoBiomass",305.844509764185,325.551402442423,0
"SRA","NoBiomass",767.256316165715,786.963208843952,0
"SRL","BiomassOnly",543.868871184864,563.575763863102,0
"SS","NoBiomass",336.577936560962,356.2848292392,0
"TB","WithBiomass",-180.152926004945,-158.25637858468,0
