"Trait","Model","AIC","BIC","Rank_AIC","Delta_AIC","Rank_BIC"
"Chl","BiomassOnly",677.933267982482,697.64016066072,1,0,1
"Chl","WithBiomass",679.887015697297,701.783563117561,2,1.95374771481522,3
"Chl","NoBiomass",680.180022234995,699.886914913233,3,2.24675425251303,2
"H","NoBiomass",281.026731845859,300.733624524097,1,0,1
"H","WithBiomass",282.741238483799,304.637785904063,2,1.71450663793962,3
"H","BiomassOnly",283.536412771189,303.243305449427,3,2.50968092532997,2
"LCC","BiomassOnly",115.547181115895,135.254073794133,1,0,1
"LCC","WithBiomass",120.44983532971,142.346382749975,2,4.90265421381507,2
"LCC","NoBiomass",123.710406824843,143.417299503081,3,8.16322570894799,3
"LDMC","NoBiomass",631.24418390127,650.951076579508,1,0,1
"LDMC","WithBiomass",632.688802262124,654.585349682388,2,1.44461836085384,2
"LDMC","BiomassOnly",645.752619388453,665.459512066691,3,14.5084354871833,3
"LNC","BiomassOnly",15.3129571047799,35.0198497830177,1,0,1
"LNC","NoBiomass",20.0683334235123,39.7752261017501,2,4.75537631873236,2
"LNC","WithBiomass",20.1496493810034,42.0461968012677,3,4.83669227622354,3
"Leaf_CN","BiomassOnly",405.651214625209,425.358107303447,1,0,1
"Leaf_CN","NoBiomass",408.537995758107,428.244888436345,2,2.88678113289825,2
"Leaf_CN","WithBiomass",408.716428552716,430.61297597298,3,3.06521392750744,3
"N","WithBiomass",447.782422906427,469.678970326691,1,0,1
"N","BiomassOnly",450.294682786592,470.00157546483,2,2.51225988016529,2
"N","NoBiomass",475.916584310963,495.6234769892,3,28.1341614045355,3
"PSIIeff","NoBiomass",-146.355114301177,-126.64822162294,1,0,1
"PSIIeff","BiomassOnly",-146.259743119069,-126.552850440831,2,0.0953711821086642,2
"PSIIeff","WithBiomass",-144.362820867642,-122.466273447378,3,1.99229343353494,3
"Psi_osm","NoBiomass",-60.6052565113777,-40.8983638331399,1,0,1
"Psi_osm","WithBiomass",-59.3615363659865,-37.4649889457222,2,1.24372014539121,2
"Psi_osm","BiomassOnly",-56.9881203436331,-37.2812276653953,3,3.61713616774456,3
"RB","WithBiomass",-226.559174413199,-204.662626992935,1,0,2
"RB","BiomassOnly",-225.181628283862,-205.474735605625,2,1.37754612933665,1
"RB","NoBiomass",-207.038236906375,-187.331344228137,3,19.5209375068243,3
"RCC","BiomassOnly",282.953456334906,302.660349013144,1,0,1
"RCC","WithBiomass",284.327065179791,306.223612600055,2,1.37360884488481,3
"RCC","NoBiomass",285.098298970075,304.805191648313,3,2.14484263516897,2
"RD","BiomassOnly",-321.693409528923,-301.986516850685,1,0,1
"RD","NoBiomass",-316.924975114114,-297.218082435876,2,4.76843441480855,2
"RD","WithBiomass",-315.260505679783,-293.363958259518,3,6.43290384913985,3
"RDMC","WithBiomass",595.829184381102,617.725731801366,1,0,2
"RDMC","NoBiomass",596.130405371543,615.837298049781,2,0.301220990441266,1
"RDMC","BiomassOnly",616.575381560525,636.282274238763,3,20.7461971794236,3
"RNC","NoBiomass",-145.833229251696,-126.126336573458,1,0,1
"RNC","WithBiomass",-144.250639437251,-122.354092016987,2,1.58258981444459,3
"RNC","BiomassOnly",-143.610662934195,-123.903770255958,3,2.22256631750031,2
"RTD","NoBiomass",-321.335526044534,-301.628633366296,1,0,1
"RTD","WithBiomass",-319.874725385582,-297.978177965317,2,1.46080065895256,2
"RTD","BiomassOnly",-304.440513444242,-284.733620766004,3,16.8950126002924,3
"R_S","BiomassOnly",81.1799734836903,100.886866161928,1,0,1
"R_S","WithBiomass",85.6940431314499,107.590590551714,2,4.51406964775964,2
"R_S","NoBiomass",96.4730559334394,116.179948611677,3,15.2930824497491,3
"Root_CN","WithBiomass",391.050127446485,412.946674866749,1,0,2
"Root_CN","NoBiomass",391.532829015364,411.239721693602,2,0.482701568879349,1
"Root_CN","BiomassOnly",397.005823774355,416.712716452593,3,5.95569632786987,3
"SB","NoBiomass",-293.847671530451,-274.140778852213,1,0,1
"SB","WithBiomass",-291.868127292856,-269.971579872592,2,1.97954423759478,3
"SB","BiomassOnly",-290.395088766055,-270.688196087817,3,3.45258276439586,2
"SD","BiomassOnly",475.649846831782,495.35673951002,1,0,1
"SD","NoBiomass",481.7784233493,501.485316027538,2,6.12857651751796,2
"SD","WithBiomass",483.376361983653,505.272909403917,3,7.7265151518705,3
"SLA","NoBiomass",305.844509764185,325.551402442423,1,0,1
"SLA","WithBiomass",307.662209452657,329.558756872921,2,1.81769968847135,2
"SLA","BiomassOnly",315.199736087943,334.906628766181,3,9.35522632375796,3
"SRA","NoBiomass",767.256316165715,786.963208843952,1,0,1
"SRA","WithBiomass",769.252486689811,791.149034110075,2,1.99617052409667,3
"SRA","BiomassOnly",770.382087689745,790.088980367983,3,3.1257715240306,2
"SRL","BiomassOnly",543.868871184864,563.575763863102,1,0,1
"SRL","NoBiomass",546.286448135928,565.993340814166,2,2.41757695106344,2
"SRL","WithBiomass",548.064697622644,569.961245042908,3,4.19582643777915,3
"SS","NoBiomass",336.577936560962,356.2848292392,1,0,1
"SS","WithBiomass",338.396259220276,360.29280664054,2,1.81832265931433,3
"SS","BiomassOnly",338.737982884742,358.44487556298,3,2.16004632378059,2
"TB","WithBiomass",-180.152926004945,-158.25637858468,1,0,1
"TB","BiomassOnly",-176.943097421192,-157.236204742954,2,3.20982858375314,2
"TB","NoBiomass",-173.826873407118,-154.11998072888,3,6.32605259782648,3
